,Mes,Inflacion,Desempleo,Expectativa_Inflacion,M1,expectativa inflacion mes siguiente,indice real de remuneraciones,Inflacion_anterior,Z,Inflacion_pred,Inflacion_pred_restr
114,2019-09-01,0.0,7.3372973397862,0.3,39372.446348154,0.4,0.1909191221766,0.2,0.09999999999999998,0.3724472422806998,0.36718009942915497
115,2019-10-01,0.8,7.1410798092785,0.5,41034.471711004,0.2,-0.803369878525,0.0,0.5,0.8560603589976842,0.8463891675129579
116,2019-11-01,0.1,6.9603082938941,0.0,42245.268398219,0.1,0.173675603967,0.8,-0.8,0.0026684185806231664,-0.02484999947152744
117,2019-12-01,0.1,7.0631690877494,0.2,43633.37999135,0.3,0.811493240845,0.1,0.1,0.18868028503228607,0.1767324297444018
118,2020-01-01,0.6,7.4430743295789,0.3,42621.378862497,0.2,0.2904179733698,0.1,0.19999999999999998,0.37950538826971103,0.3715483301608984
119,2020-02-01,0.4,7.8105192968302,0.2,43378.140732602,0.4,-0.527053748381,0.6,-0.39999999999999997,0.3550068287394235,0.33475823559107254
120,2020-03-01,0.3,8.2285090973616,0.4,46653.000324946,0.3,0.7712619038906,0.4,0.0,0.29948037977952124,0.32152216864628796
121,2020-04-01,0.0,9.0018555844912,0.2,48599.795400436,0.2,-1.240621924378,0.3,-0.09999999999999998,0.5238661991683289,0.4839074761527687
122,2020-05-01,-0.1,11.206932833479,0.0,51629.77653172,0.0,-0.103420406209,0.0,0.0,0.00038842090913293603,-0.03889689291269037
123,2020-06-01,-0.1,12.217859680127,0.0,52956.296220557,0.1,0.1163281325165,-0.1,0.1,-0.08458261790651755,-0.11795195097203875
124,2020-07-01,0.1,13.091216396143,0.0,53271.625024397,0.1,0.6435626657483,-0.1,0.1,-0.25281480446387683,-0.2715180657147652
125,2020-08-01,0.1,12.907461467072,0.1,62299.75854939,0.2,0.0820806052846,0.1,0.0,0.003333914156381179,-0.01733480147200192
126,2020-09-01,0.6,12.34829068332,0.2,63423.259991811,0.3,0.3652634904268,0.1,0.1,0.08319743181471717,0.07558090443371925
127,2020-10-01,0.7,11.577038760121,0.3,62477.823459993,0.1,-0.336203114658,0.6,-0.3,0.297738563099076,0.29805243481899457
128,2020-11-01,-0.1,10.758022977255,0.1,62397.016401228,0.1,0.9555268448585,0.7,-0.6,-0.16515309738592487,-0.16395248723891398
